time,target_speed,current_speed,throttle,brake
3.87425,2.00005,1.88695,0.306314,0
3.92444,2.0001,1.8501,0.32605,0
3.97254,2.00006,1.82087,0.343837,0
4.02315,2.00008,1.83847,0.333867,0
4.07151,2.00008,1.88457,0.317494,0
4.13054,2.00001,1.95017,0,0
4.17162,2.00003,2.02417,0,0
4.23213,2.00008,2.07601,0,0
4.28994,2.00007,2.08544,0,0
4.32348,2.00002,2.07668,0,0
4.37773,1.99991,2.04392,0,0
4.42439,2,2.01399,0,0
4.47818,1.99997,1.97566,0,0
4.52041,1.9998,1.92534,0,0
4.57176,1.9998,1.89608,0.342557,0
4.62314,2.00008,1.85371,0.368997,0
4.67057,2.00008,1.83093,0.380477,0
4.72506,2.00006,1.85199,0.369456,0
4.7816,1.99996,1.93493,0,0
4.82346,2,1.98154,0,0
4.88046,2.00007,2.05564,0,0
4.92363,2.00007,2.06987,0,0
4.97248,2.00007,2.05825,0,0
5.02176,2.00008,2.03631,0,0
5.07723,2,2.00092,0,0
5.12485,2.00001,1.95687,0,0
5.17116,1.99987,1.92628,0,0
5.22464,1.99997,1.88443,0.384886,0
5.27302,2.00003,1.85062,0.402269,0
5.32448,2.00001,1.81889,0.422638,0
5.38198,1.99998,1.85464,0.399659,0
5.45262,1.99992,1.93899,0,0
5.47985,2.00009,2.01755,0,0
5.52232,1.99992,2.09114,0,0
5.57315,1.99994,2.1283,0.303963,0
5.62511,1.99991,2.13204,0.304845,0
5.67857,1.9999,2.12505,0.302795,0
5.72109,2.00005,2.14909,0.276944,0
5.77208,1.99991,2.18062,0.253634,0
5.82365,1.99983,2.24069,0.211389,0
5.87492,1.99985,2.29018,0.181345,0
5.92227,2,2.32504,0.155163,0
5.97253,1.9999,2.36017,0.122113,0
6.02154,1.99993,2.38356,0.0951861,0
6.08287,2,2.39517,0.0713274,0
6.12224,2.00001,2.39447,0.0515626,0
6.17648,2.00004,2.38518,0.0340245,0
6.23443,2.00004,2.3668,0.0206098,0
6.27313,2,2.33785,0.0127548,0
6.33028,1.99983,2.28772,0.0177771,0
6.37108,1.99993,2.27148,0,0
6.42306,1.99998,2.23054,0.00330889,0
6.47345,1.99999,2.19773,0,0
6.52355,1.99999,2.15045,0.00993343,0
6.57064,1.9999,2.11379,0.0115997,0
6.62152,1.99987,2.06467,0,0
6.6751,2.00006,2.02199,0,0
6.72868,2.00011,1.98751,0,0
6.77709,2.00011,1.94429,0,0
6.82464,2.00007,1.9051,0,0
6.87218,2.00002,1.86648,0.0993882,0
6.93108,2.00012,1.82721,0.122591,0
6.97216,2.00009,1.79309,0.144344,0
7.03298,2.00009,1.77923,0.155957,0
7.08113,2.00009,1.77723,0.166413,0
7.12402,2.00015,1.78407,0.174571,0
7.17696,2.00014,1.79674,0.18095,0
7.2251,2.00009,1.81579,0.183971,0
7.2743,2.00005,1.84193,0.182961,0
7.32339,2.00007,1.85885,0.188807,0
7.36978,2.00004,1.88568,0.18408,0
7.42464,2.00008,1.91027,0,0
7.4714,1.99983,1.93728,0,0
7.52506,1.99986,1.94661,0,0
7.5684,1.99986,1.93192,0,0
7.62369,1.99995,1.90638,0,0
7.70344,1.99982,1.84549,0.232418,0
7.75063,2.00005,1.83468,0.230956,0
7.79407,2.00004,1.79105,0.267227,0
7.83593,2.00004,1.79301,0.26535,0
7.8741,1.99989,1.81656,0.262242,0
7.92263,1.9999,1.84438,0.261448,0
7.97091,1.99999,1.89573,0.244257,0
8.02555,1.99991,1.93763,0,0
8.08196,2.00004,2.00177,0,0
8.13662,2.00002,2.01393,0,0
8.20275,2.00007,1.99858,0,0
8.23862,1.99994,1.99858,0,0
8.28242,1.99996,1.94514,0,0
8.32473,1.99996,1.94514,0,0
8.37786,1.99991,1.87721,0.293266,0
8.4251,1.99991,1.85216,0.297297,0
8.47329,2.00008,1.82091,0.320011,0
8.52013,2.00008,1.83283,0.313237,0
8.57473,2.00001,1.88047,0.294395,0
8.62304,1.99995,1.92751,0,0
8.67584,2.0001,2.01137,0,0
8.73648,2.00009,2.03889,0,0
8.78377,2.00011,2.03093,0,0
8.8507,2.00004,2.00269,0,0
8.91658,1.99997,1.9508,0,0
8.99307,1.99997,1.9508,0,0
9.03995,2.00008,1.8544,0.354771,0
9.09922,2.00008,1.82693,0.353239,0
9.1406,2.00007,1.80174,0.37251,0
9.19233,2.00008,1.82606,0.360327,0
9.24007,1.99996,1.88837,0.335607,0
9.29328,2.00003,1.95334,0,0
9.34299,1.99995,2.04808,0,0
9.39061,1.99992,2.08786,0,0
9.44166,2.00005,2.09935,0,0
9.4917,2.00002,2.08994,0,0
9.53889,1.99984,2.04941,0,0
9.59818,1.99984,2.02543,0,0
9.6432,2.00001,1.97368,0,0
9.69055,2.00001,1.96649,0,0
9.73891,1.99994,1.89726,0.378394,0
9.79736,1.99982,1.86742,0.384016,0
9.84277,2.00006,1.84325,0.399636,0
9.89242,1.99988,1.86827,0.384589,0
9.941,1.99997,1.93769,0,0
9.99244,2.00006,2.01131,0,0
10.0438,2.00001,2.08325,0,0
10.0895,2.00001,2.08965,0,0
10.1429,2,2.07611,0,0
10.1908,1.99994,2.04796,0,0
10.2434,1.99999,2.01546,0,0
10.2941,1.99997,1.97162,0,0
10.3516,1.99993,1.93999,0,0
10.3946,1.99988,1.89219,0.405282,0
10.442,1.99982,1.86866,0.413375,0
10.4937,2.00007,1.83338,0.438367,0
10.5388,2.00008,1.8541,0.423632,0
10.5955,2,1.93648,0,0
10.6413,2.00006,2.02511,0,0
10.6893,2.00002,2.09147,0,0
10.7679,2.00002,2.11427,0.33287,0
10.8147,2.00007,2.10226,0.341058,0
10.8739,2.00001,2.08562,0,0
10.9208,2.00001,2.08562,0,0
10.9602,2,2.13905,0.301271,0
11.0049,2,2.13856,0.309293,0
11.0611,1.99998,2.13335,0.30436,0
11.1,2,2.14898,0.284183,0
11.1491,2.00002,2.19891,0.245988,0
11.1983,2.00002,2.23757,0.222745,0
11.2451,1.99985,2.29573,0.18042,0
11.2939,1.99989,2.32065,0.163249,0
11.358,1.99986,2.37275,0.116021,0
11.4298,1.99986,2.39439,0.0945715,0
11.4829,2.00001,2.3996,0.0739477,0
11.5295,2.00001,2.39867,0.0521252,0
11.5825,1.99999,2.38009,0.0405493,0
11.6378,2.00003,2.36417,0.0230221,0
11.6942,1.99986,2.32364,0.0238345,0
11.7551,1.99986,2.32364,0,0
11.8032,2.00001,2.24608,0.025715,0
11.8506,1.99999,2.21666,0.00763228,0
11.9057,1.99999,2.164,0.021616,0
11.9573,1.99999,2.164,0,0
12.0043,1.99992,2.08562,0,0
12.0563,1.99992,2.06128,0,0
12.1062,1.99985,2.01454,0,0
12.1748,2.00005,1.95881,0,0
12.2242,2.0001,1.91821,0,0
12.2747,2.00007,1.87604,0.108233,0
12.3315,2.00009,1.83971,0.127758,0
12.3746,2.00011,1.80808,0.147998,0
12.4193,2.00017,1.79691,0.157653,0
12.471,2.00012,1.79523,0.167591,0
12.5221,2.00012,1.80321,0.173971,0
12.5729,2.00003,1.81871,0.177579,0
12.6271,2.0001,1.84054,0.178332,0
12.6685,2.0001,1.85224,0.186485,0
12.7201,1.9999,1.88206,0.178451,0
12.7745,1.99993,1.90231,0,0
12.8308,1.99996,1.93322,0,0
12.8839,1.99996,1.93214,0,0
12.9349,2,1.90726,0,0
12.9876,1.99983,1.88171,0.202249,0
13.0419,2.00009,1.83692,0.232354,0
13.0982,2.00008,1.82451,0.237065,0
13.1379,1.99995,1.8364,0.235706,0
13.1894,1.99993,1.8588,0.233874,0
13.2531,1.99995,1.90498,0,0
13.2976,1.99989,1.93649,0,0
13.3525,1.99993,1.96441,0,0
13.4135,2,1.95344,0,0
13.4588,1.99998,1.9241,0,0
13.5162,2.00001,1.89586,0.243496,0
13.5631,1.99997,1.85024,0.272258,0
13.6102,1.99995,1.83548,0.277593,0
13.6556,1.99983,1.84753,0.274771,0
13.7074,1.99996,1.87302,0.270304,0
13.7589,1.99997,1.93148,0,0
13.8113,2.00012,1.97936,0,0
13.869,2.00008,2.00829,0,0
13.9341,2.00007,1.99838,0,0
